REGION,TECHNOLOGY,YEAR,VALUE
GLOBAL,MINCOABGD,2023,0.0
GLOBAL,MINCOABGD,2024,0.0
GLOBAL,MINCOABGD,2025,0.0
GLOBAL,MINCOABGD,2026,0.0
GLOBAL,MINCOABGD,2027,
GLOBAL,MINCOABGD,2028,
GLOBAL,MINCOABGD,2029,
GLOBAL,MINCOABGD,2030,
GLOBAL,MINCOABGD,2031,
GLOBAL,MINCOABGD,2032,
GLOBAL,MINCOABGD,2033,
GLOBAL,MINCOABGD,2034,
GLOBAL,MINCOABGD,2035,
GLOBAL,MINCOABGD,2036,
GLOBAL,MINCOABGD,2037,
GLOBAL,MINCOABGD,2038,
GLOBAL,MINCOABGD,2039,
GLOBAL,MINCOABGD,2040,
GLOBAL,MINCOABGD,2041,
GLOBAL,MINCOABGD,2042,
GLOBAL,MINCOABGD,2043,
GLOBAL,MINCOABGD,2044,
GLOBAL,MINCOABGD,2045,
GLOBAL,MINCOABGD,2046,
GLOBAL,MINCOABGD,2047,
GLOBAL,MINCOABGD,2048,
GLOBAL,MINCOABGD,2049,
GLOBAL,MINCOABGD,2050,
GLOBAL,MINCOABTN,2023,0.0
GLOBAL,MINCOABTN,2024,0.0
GLOBAL,MINCOABTN,2025,0.0
GLOBAL,MINCOABTN,2026,0.0
GLOBAL,MINCOABTN,2027,
GLOBAL,MINCOABTN,2028,
GLOBAL,MINCOABTN,2029,
GLOBAL,MINCOABTN,2030,
GLOBAL,MINCOABTN,2031,
GLOBAL,MINCOABTN,2032,
GLOBAL,MINCOABTN,2033,
GLOBAL,MINCOABTN,2034,
GLOBAL,MINCOABTN,2035,
GLOBAL,MINCOABTN,2036,
GLOBAL,MINCOABTN,2037,
GLOBAL,MINCOABTN,2038,
GLOBAL,MINCOABTN,2039,
GLOBAL,MINCOABTN,2040,
GLOBAL,MINCOABTN,2041,
GLOBAL,MINCOABTN,2042,
GLOBAL,MINCOABTN,2043,
GLOBAL,MINCOABTN,2044,
GLOBAL,MINCOABTN,2045,
GLOBAL,MINCOABTN,2046,
