REGION,TECHNOLOGY,YEAR,VALUE
GLOBAL,PWRBIOBGDXX,2024,0.0001
GLOBAL,PWRBIOBGDXX,2025,0.0002
GLOBAL,PWRBIOBGDXX,2026,0.00030000000000000003
GLOBAL,PWRBIOBGDXX,2027,0.0004
GLOBAL,PWRBIOBGDXX,2028,0.0005
GLOBAL,PWRBIOBGDXX,2029,0.0006000000000000001
GLOBAL,PWRBIOBGDXX,2030,0.0007000000000000001
GLOBAL,PWRBIOBGDXX,2031,0.0007000000000000001
GLOBAL,PWRBIOBGDXX,2032,0.0007000000000000001
GLOBAL,PWRBIOBGDXX,2033,0.0007000000000000001
GLOBAL,PWRBIOBGDXX,2034,0.0007000000000000001
GLOBAL,PWRBIOBGDXX,2035,0.0007000000000000001
GLOBAL,PWRBIOBGDXX,2036,0.0007000000000000001
GLOBAL,PWRBIOBGDXX,2037,0.0007000000000000001
GLOBAL,PWRBIOBGDXX,2038,0.0007000000000000001
GLOBAL,PWRBIOBGDXX,2039,0.0007000000000000001
GLOBAL,PWRBIOBGDXX,2040,0.0007000000000000001
GLOBAL,PWRBIOBGDXX,2041,0.0007000000000000001
GLOBAL,PWRBIOBGDXX,2042,0.0007000000000000001
GLOBAL,PWRBIOBGDXX,2043,0.0007000000000000001
GLOBAL,PWRBIOBGDXX,2044,0.0007000000000000001
GLOBAL,PWRBIOBGDXX,2045,0.0007000000000000001
GLOBAL,PWRBIOBGDXX,2046,0.0007000000000000001
GLOBAL,PWRBIOBGDXX,2047,0.0007000000000000001
GLOBAL,PWRBIOBGDXX,2048,0.0007000000000000001
GLOBAL,PWRBIOBGDXX,2049,0.0007000000000000001
GLOBAL,PWRBIOBGDXX,2050,0.0007000000000000001
GLOBAL,PWRBIOINDEA,2024,0.0340999999999999
GLOBAL,PWRBIOINDEA,2025,0.07279999999999981
GLOBAL,PWRBIOINDEA,2026,0.1123999999999998
GLOBAL,PWRBIOINDEA,2027,0.1546999999999997
GLOBAL,PWRBIOINDEA,2028,0.1985999999999997
GLOBAL,PWRBIOINDEA,2029,0.2326999999999996
GLOBAL,PWRBIOINDEA,2030,0.2491999999999996
GLOBAL,PWRBIOINDEA,2031,0.26289999999999963
GLOBAL,PWRBIOINDEA,2032,0.28699999999999964
GLOBAL,PWRBIOINDEA,2033,0.30879999999999963
GLOBAL,PWRBIOINDEA,2034,0.3281999999999996
GLOBAL,PWRBIOINDEA,2035,0.3452999999999996
GLOBAL,PWRBIOINDEA,2036,0.3600999999999996
GLOBAL,PWRBIOINDEA,2037,0.3775999999999996
GLOBAL,PWRBIOINDEA,2038,0.3924999999999996
GLOBAL,PWRBIOINDEA,2039,0.4047999999999996
GLOBAL,PWRBIOINDEA,2040,0.4143999999999995
GLOBAL,PWRBIOINDEA,2041,0.4234999999999995
GLOBAL,PWRBIOINDEA,2042,0.44339999999999946
GLOBAL,PWRBIOINDEA,2043,0.4722999999999994
GLOBAL,PWRBIOINDEA,2044,0.5089999999999993
GLOBAL,PWRBIOINDEA,2045,0.5515999999999992
GLOBAL,PWRBIOINDEA,2046,0.6004999999999991
GLOBAL,PWRBIOINDEA,2047,0.6454999999999991
GLOBAL,PWRBIOINDEA,2048,0.6668999999999989
GLOBAL,PWRBIOINDEA,2049,0.6668999999999989
GLOBAL,PWRBIOINDEA,2050,0.6668999999999989
GLOBAL,PWRBIOINDNE,2024,0.0008999999999999
GLOBAL,PWRBIOINDNE,2025,0.0018999999999999
GLOBAL,PWRBIOINDNE,2026,0.0029999999999999003
GLOBAL,PWRBIOINDNE,2027,0.004099999999999901
GLOBAL,PWRBIOINDNE,2028,0.005199999999999901
GLOBAL,PWRBIOINDNE,2029,0.006099999999999801
GLOBAL,PWRBIOINDNE,2030,0.006899999999999801
GLOBAL,PWRBIOINDNE,2031,0.007599999999999701
GLOBAL,PWRBIOINDNE,2032,0.008499999999999602
GLOBAL,PWRBIOINDNE,2033,0.009399999999999503
GLOBAL,PWRBIOINDNE,2034,0.010199999999999503
GLOBAL,PWRBIOINDNE,2035,0.010999999999999503
GLOBAL,PWRBIOINDNE,2036,0.011799999999999504
GLOBAL,PWRBIOINDNE,2037,0.012699999999999403
GLOBAL,PWRBIOINDNE,2038,0.013599999999999304
GLOBAL,PWRBIOINDNE,2039,0.014399999999999302
GLOBAL,PWRBIOINDNE,2040,0.015199999999999303
GLOBAL,PWRBIOINDNE,2041,0.015899999999999203
GLOBAL,PWRBIOINDNE,2042,0.0166999999999992
GLOBAL,PWRBIOINDNE,2043,0.017599999999999102
GLOBAL,PWRBIOINDNE,2044,0.018499999999999003
GLOBAL,PWRBIOINDNE,2045,0.019599999999999004
GLOBAL,PWRBIOINDNE,2046,0.020999999999999002
GLOBAL,PWRBIOINDNE,2047,0.0226999999999989
GLOBAL,PWRBIOINDNE,2048,0.024699999999998903
GLOBAL,PWRBIOINDNE,2049,0.026999999999998903
GLOBAL,PWRBIOINDNE,2050,0.029599999999998804
GLOBAL,PWRBIOINDNO,2024,0.1890999999999999
GLOBAL,PWRBIOINDNO,2025,0.3889999999999998
GLOBAL,PWRBIOINDNO,2026,0.6036999999999998
GLOBAL,PWRBIOINDNO,2027,0.8315999999999997
GLOBAL,PWRBIOINDNO,2028,1.0711999999999997
GLOBAL,PWRBIOINDNO,2029,1.2861999999999998
GLOBAL,PWRBIOINDNO,2030,1.4281999999999997
GLOBAL,PWRBIOINDNO,2031,1.5659999999999996
GLOBAL,PWRBIOINDNO,2032,1.7332999999999996
GLOBAL,PWRBIOINDNO,2033,1.8933999999999995
GLOBAL,PWRBIOINDNO,2034,2.0463999999999993
GLOBAL,PWRBIOINDNO,2035,2.1921999999999993
GLOBAL,PWRBIOINDNO,2036,2.330799999999999
GLOBAL,PWRBIOINDNO,2037,2.481599999999999
GLOBAL,PWRBIOINDNO,2038,2.6245999999999987
GLOBAL,PWRBIOINDNO,2039,2.7597999999999994
GLOBAL,PWRBIOINDNO,2040,2.8748999999999993
GLOBAL,PWRBIOINDNO,2041,2.9940999999999995
GLOBAL,PWRBIOINDNO,2042,3.1325999999999996
GLOBAL,PWRBIOINDNO,2043,3.3345
GLOBAL,PWRBIOINDNO,2044,3.6005
GLOBAL,PWRBIOINDNO,2045,3.9288
GLOBAL,PWRBIOINDNO,2046,4.3396
GLOBAL,PWRBIOINDNO,2047,4.8271999999999995
GLOBAL,PWRBIOINDNO,2048,5.387099999999999
GLOBAL,PWRBIOINDNO,2049,6.0154
GLOBAL,PWRBIOINDNO,2050,6.7088
GLOBAL,PWRBIOINDSO,2024,0.2147
GLOBAL,PWRBIOINDSO,2025,0.4427
GLOBAL,PWRBIOINDSO,2026,0.6937
GLOBAL,PWRBIOINDSO,2027,0.9477
GLOBAL,PWRBIOINDSO,2028,1.2122
GLOBAL,PWRBIOINDSO,2029,1.4518
GLOBAL,PWRBIOINDSO,2030,1.6161999999999999
GLOBAL,PWRBIOINDSO,2031,1.7687
GLOBAL,PWRBIOINDSO,2032,1.9595
GLOBAL,PWRBIOINDSO,2033,2.1432
GLOBAL,PWRBIOINDSO,2034,2.3198000000000003
GLOBAL,PWRBIOINDSO,2035,2.4892000000000003
GLOBAL,PWRBIOINDSO,2036,2.6515000000000004
GLOBAL,PWRBIOINDSO,2037,2.8237000000000005
GLOBAL,PWRBIOINDSO,2038,2.9883000000000006
GLOBAL,PWRBIOINDSO,2039,3.1452999999999998
GLOBAL,PWRBIOINDSO,2040,3.2876999999999996
GLOBAL,PWRBIOINDSO,2041,3.4292999999999996
GLOBAL,PWRBIOINDSO,2042,3.5923999999999996
GLOBAL,PWRBIOINDSO,2043,3.8159999999999994
GLOBAL,PWRBIOINDSO,2044,4.110899999999999
GLOBAL,PWRBIOINDSO,2045,4.475699999999999
GLOBAL,PWRBIOINDSO,2046,4.931199999999999
GLOBAL,PWRBIOINDSO,2047,5.4715
GLOBAL,PWRBIOINDSO,2048,6.0916999999999994
GLOBAL,PWRBIOINDSO,2049,6.787599999999999
GLOBAL,PWRBIOINDSO,2050,7.5557
GLOBAL,PWRBIOINDWE,2024,0.1869
GLOBAL,PWRBIOINDWE,2025,0.3913999999999999
GLOBAL,PWRBIOINDWE,2026,0.6219999999999999
GLOBAL,PWRBIOINDWE,2027,0.8443999999999998
GLOBAL,PWRBIOINDWE,2028,1.0747999999999998
GLOBAL,PWRBIOINDWE,2029,1.2721999999999998
GLOBAL,PWRBIOINDWE,2030,1.3411999999999997
GLOBAL,PWRBIOINDWE,2031,1.3973999999999998
GLOBAL,PWRBIOINDWE,2032,1.5207999999999997
GLOBAL,PWRBIOINDWE,2033,1.6350999999999998
GLOBAL,PWRBIOINDWE,2034,1.7403999999999997
GLOBAL,PWRBIOINDWE,2035,1.8365999999999996
GLOBAL,PWRBIOINDWE,2036,1.9237999999999995
GLOBAL,PWRBIOINDWE,2037,2.0219999999999994
GLOBAL,PWRBIOINDWE,2038,2.1101999999999994
GLOBAL,PWRBIOINDWE,2039,2.1884999999999994
GLOBAL,PWRBIOINDWE,2040,2.2567999999999993
GLOBAL,PWRBIOINDWE,2041,2.3209999999999993
GLOBAL,PWRBIOINDWE,2042,2.4493999999999994
GLOBAL,PWRBIOINDWE,2043,2.639499999999999
GLOBAL,PWRBIOINDWE,2044,2.889599999999999
GLOBAL,PWRBIOINDWE,2045,3.1977999999999986
GLOBAL,PWRBIOINDWE,2046,3.5842999999999985
GLOBAL,PWRBIOINDWE,2047,4.043199999999999
GLOBAL,PWRBIOINDWE,2048,4.568899999999998
GLOBAL,PWRBIOINDWE,2049,5.155399999999998
GLOBAL,PWRBIOINDWE,2050,5.796399999999998
GLOBAL,PWRBIOLKAXX,2024,0.0035
GLOBAL,PWRBIOLKAXX,2025,0.0135
GLOBAL,PWRBIOLKAXX,2026,0.0284999999999999
GLOBAL,PWRBIOLKAXX,2027,0.048499999999999904
GLOBAL,PWRBIOLKAXX,2028,0.06849999999999991
GLOBAL,PWRBIOLKAXX,2029,0.08849999999999991
GLOBAL,PWRBIOLKAXX,2030,0.10849999999999992
GLOBAL,PWRBIOLKAXX,2031,0.12869999999999981
GLOBAL,PWRBIOLKAXX,2032,0.13159999999999972
GLOBAL,PWRBIOLKAXX,2033,0.13459999999999972
GLOBAL,PWRBIOLKAXX,2034,0.13779999999999973
GLOBAL,PWRBIOLKAXX,2035,0.14119999999999963
GLOBAL,PWRBIOLKAXX,2036,0.14479999999999954
GLOBAL,PWRBIOLKAXX,2037,0.14869999999999944
GLOBAL,PWRBIOLKAXX,2038,0.15279999999999944
GLOBAL,PWRBIOLKAXX,2039,0.1569999999999993
GLOBAL,PWRBIOLKAXX,2040,0.1612999999999993
GLOBAL,PWRBIOLKAXX,2041,0.1657999999999992
GLOBAL,PWRBIOLKAXX,2042,0.1702999999999991
GLOBAL,PWRBIOLKAXX,2043,0.174899999999999
GLOBAL,PWRBIOLKAXX,2044,0.179599999999999
GLOBAL,PWRBIOLKAXX,2045,0.1843999999999989
GLOBAL,PWRBIOLKAXX,2046,0.1904999999999989
GLOBAL,PWRBIOLKAXX,2047,0.1904999999999989
GLOBAL,PWRBIOLKAXX,2048,0.1904999999999989
GLOBAL,PWRBIOLKAXX,2049,0.1904999999999989
GLOBAL,PWRBIOLKAXX,2050,0.1904999999999989
GLOBAL,PWRBIONPLXX,2024,0.0005
GLOBAL,PWRBIONPLXX,2025,0.001
GLOBAL,PWRBIONPLXX,2026,0.0015
GLOBAL,PWRBIONPLXX,2027,0.0020999999999999
GLOBAL,PWRBIONPLXX,2028,0.0026999999999998
GLOBAL,PWRBIONPLXX,2029,0.0033999999999997
GLOBAL,PWRBIONPLXX,2030,0.0041999999999997005
GLOBAL,PWRBIONPLXX,2031,0.004999999999999701
GLOBAL,PWRBIONPLXX,2032,0.005899999999999601
GLOBAL,PWRBIONPLXX,2033,0.006899999999999601
GLOBAL,PWRBIONPLXX,2034,0.007499999999999501
GLOBAL,PWRBIONPLXX,2035,0.008099999999999401
GLOBAL,PWRBIONPLXX,2036,0.0086999999999993
GLOBAL,PWRBIONPLXX,2037,0.0092999999999992
GLOBAL,PWRBIONPLXX,2038,0.009899999999999099
GLOBAL,PWRBIONPLXX,2039,0.010499999999999
GLOBAL,PWRBIONPLXX,2040,0.011099999999998899
GLOBAL,PWRBIONPLXX,2041,0.011699999999998798
GLOBAL,PWRBIONPLXX,2042,0.012299999999998697
GLOBAL,PWRBIONPLXX,2043,0.012899999999998597
GLOBAL,PWRBIONPLXX,2044,0.013499999999998496
GLOBAL,PWRBIONPLXX,2045,0.014099999999998395
GLOBAL,PWRBIONPLXX,2046,0.014799999999998295
GLOBAL,PWRBIONPLXX,2047,0.0155999999999983
GLOBAL,PWRBIONPLXX,2048,0.0164999999999982
GLOBAL,PWRBIONPLXX,2049,0.0175999999999982
GLOBAL,PWRBIONPLXX,2050,0.0187999999999981
GLOBAL,PWRCOABGDXX,2025,1.32
GLOBAL,PWRCOABGDXX,2026,1.32
GLOBAL,PWRCOABGDXX,2027,1.32
GLOBAL,PWRCOABGDXX,2028,1.32
GLOBAL,PWRCOABGDXX,2029,1.32
GLOBAL,PWRCOABGDXX,2030,1.6773
GLOBAL,PWRCOABGDXX,2031,1.9212
GLOBAL,PWRCOABGDXX,2032,2.1659
GLOBAL,PWRCOABGDXX,2033,2.4108
GLOBAL,PWRCOABGDXX,2034,2.6551
GLOBAL,PWRCOABGDXX,2035,2.8982
GLOBAL,PWRCOABGDXX,2036,3.1391999999999998
GLOBAL,PWRCOABGDXX,2037,3.3771999999999998
GLOBAL,PWRCOABGDXX,2038,3.6111999999999997
GLOBAL,PWRCOABGDXX,2039,3.84
GLOBAL,PWRCOABGDXX,2040,4.0625
GLOBAL,PWRCOABGDXX,2041,4.2773
GLOBAL,PWRCOABGDXX,2042,4.433400000000001
GLOBAL,PWRCOABGDXX,2043,4.644800000000001
GLOBAL,PWRCOABGDXX,2044,4.887099999999999
GLOBAL,PWRCOABGDXX,2045,5.124899999999999
GLOBAL,PWRCOABGDXX,2046,5.124899999999999
GLOBAL,PWRCOABGDXX,2047,5.124899999999999
GLOBAL,PWRCOABGDXX,2048,5.124899999999999
GLOBAL,PWRCOABGDXX,2049,5.124899999999999
GLOBAL,PWRCOABGDXX,2050,5.124899999999999
GLOBAL,PWRCOAINDEA,2025,0.66
GLOBAL,PWRCOAINDEA,2026,2.92
GLOBAL,PWRCOAINDEA,2027,5.8927
GLOBAL,PWRCOAINDEA,2028,8.9772
GLOBAL,PWRCOAINDEA,2029,11.4012
GLOBAL,PWRCOAINDEA,2030,13.825199999999999
GLOBAL,PWRCOAINDEA,2031,14.7883
GLOBAL,PWRCOAINDEA,2032,16.4801
GLOBAL,PWRCOAINDEA,2033,18.0086
GLOBAL,PWRCOAINDEA,2034,19.373800000000003
GLOBAL,PWRCOAINDEA,2035,27.494200000000003
GLOBAL,PWRCOAINDEA,2036,28.5328
GLOBAL,PWRCOAINDEA,2037,29.7634
GLOBAL,PWRCOAINDEA,2038,30.8094
GLOBAL,PWRCOAINDEA,2039,31.6708
GLOBAL,PWRCOAINDEA,2040,32.3476
GLOBAL,PWRCOAINDEA,2041,32.9843
GLOBAL,PWRCOAINDEA,2042,34.381499999999996
GLOBAL,PWRCOAINDEA,2043,36.407599999999995
GLOBAL,PWRCOAINDEA,2044,38.9824
GLOBAL,PWRCOAINDEA,2045,41.9767
GLOBAL,PWRCOAINDEA,2046,45.4077
GLOBAL,PWRCOAINDEA,2047,48.570899999999995
GLOBAL,PWRCOAINDEA,2048,50.0711
GLOBAL,PWRCOAINDEA,2049,50.0711
GLOBAL,PWRCOAINDEA,2050,50.0711
GLOBAL,PWRCOAINDNE,2024,0.0439
GLOBAL,PWRCOAINDNE,2025,0.0905999999999999
GLOBAL,PWRCOAINDNE,2026,0.1417999999999999
GLOBAL,PWRCOAINDNE,2027,0.1931999999999999
GLOBAL,PWRCOAINDNE,2028,0.2472999999999999
GLOBAL,PWRCOAINDNE,2029,0.2901999999999999
GLOBAL,PWRCOAINDNE,2030,0.3281999999999998
GLOBAL,PWRCOAINDNE,2031,0.36339999999999983
GLOBAL,PWRCOAINDNE,2032,0.40719999999999973
GLOBAL,PWRCOAINDNE,2033,0.4489999999999996
GLOBAL,PWRCOAINDNE,2034,0.4886999999999995
GLOBAL,PWRCOAINDNE,2035,0.5263999999999994
GLOBAL,PWRCOAINDNE,2036,0.5620999999999994
GLOBAL,PWRCOAINDNE,2037,0.6055999999999993
GLOBAL,PWRCOAINDNE,2038,0.6466999999999992
GLOBAL,PWRCOAINDNE,2039,0.6853999999999991
GLOBAL,PWRCOAINDNE,2040,0.721699999999999
GLOBAL,PWRCOAINDNE,2041,0.755599999999999
GLOBAL,PWRCOAINDNE,2042,0.795899999999999
GLOBAL,PWRCOAINDNE,2043,0.836599999999999
GLOBAL,PWRCOAINDNE,2044,0.8776999999999989
GLOBAL,PWRCOAINDNE,2045,0.9283999999999989
GLOBAL,PWRCOAINDNE,2046,0.9938999999999989
GLOBAL,PWRCOAINDNE,2047,1.0740999999999987
GLOBAL,PWRCOAINDNE,2048,1.1687999999999987
GLOBAL,PWRCOAINDNE,2049,1.2776999999999987
GLOBAL,PWRCOAINDNE,2050,1.4005999999999987
GLOBAL,PWRCOAINDNO,2026,3.1598
GLOBAL,PWRCOAINDNO,2027,6.5141
GLOBAL,PWRCOAINDNO,2028,10.0406
GLOBAL,PWRCOAINDNO,2029,13.2059
GLOBAL,PWRCOAINDNO,2030,15.2965
GLOBAL,PWRCOAINDNO,2031,17.3245
GLOBAL,PWRCOAINDNO,2032,19.787
GLOBAL,PWRCOAINDNO,2033,22.144099999999998
GLOBAL,PWRCOAINDNO,2034,24.395799999999998
GLOBAL,PWRCOAINDNO,2035,26.541999999999998
GLOBAL,PWRCOAINDNO,2036,28.5828
GLOBAL,PWRCOAINDNO,2037,30.8021
GLOBAL,PWRCOAINDNO,2038,32.9067
GLOBAL,PWRCOAINDNO,2039,34.8967
GLOBAL,PWRCOAINDNO,2040,36.591100000000004
GLOBAL,PWRCOAINDNO,2041,38.3451
GLOBAL,PWRCOAINDNO,2042,40.383300000000006
GLOBAL,PWRCOAINDNO,2043,43.35510000000001
GLOBAL,PWRCOAINDNO,2044,47.27040000000001
GLOBAL,PWRCOAINDNO,2045,52.10350000000001
GLOBAL,PWRCOAINDNO,2046,58.15100000000001
GLOBAL,PWRCOAINDNO,2047,65.3289
GLOBAL,PWRCOAINDNO,2048,73.5707
GLOBAL,PWRCOAINDNO,2049,82.81949999999999
GLOBAL,PWRCOAINDNO,2050,85.52993466035251
GLOBAL,PWRCOAINDSO,2025,3.2
GLOBAL,PWRCOAINDSO,2026,5.84
GLOBAL,PWRCOAINDSO,2027,5.84
GLOBAL,PWRCOAINDSO,2028,9.1863
GLOBAL,PWRCOAINDSO,2029,12.217799999999999
GLOBAL,PWRCOAINDSO,2030,14.297299999999998
GLOBAL,PWRCOAINDSO,2031,16.226799999999997
GLOBAL,PWRCOAINDSO,2032,18.640099999999997
GLOBAL,PWRCOAINDSO,2033,20.9635
GLOBAL,PWRCOAINDSO,2034,23.197
GLOBAL,PWRCOAINDSO,2035,25.3406
GLOBAL,PWRCOAINDSO,2036,27.394299999999998
GLOBAL,PWRCOAINDSO,2037,29.572999999999997
GLOBAL,PWRCOAINDSO,2038,31.655599999999996
GLOBAL,PWRCOAINDSO,2039,33.6421
GLOBAL,PWRCOAINDSO,2040,35.4435
GLOBAL,PWRCOAINDSO,2041,37.2346
GLOBAL,PWRCOAINDSO,2042,39.2975
GLOBAL,PWRCOAINDSO,2043,42.126599999999996
GLOBAL,PWRCOAINDSO,2044,45.8567
GLOBAL,PWRCOAINDSO,2045,50.471199999999996
GLOBAL,PWRCOAINDSO,2046,53.50780558879465
GLOBAL,PWRCOAINDSO,2047,53.50780558879465
GLOBAL,PWRCOAINDSO,2048,53.50780558879465
GLOBAL,PWRCOAINDSO,2049,53.50780558879465
GLOBAL,PWRCOAINDSO,2050,53.50780558879465
GLOBAL,PWRCOAINDWE,2025,1.6
GLOBAL,PWRCOAINDWE,2026,4.800000000000001
GLOBAL,PWRCOAINDWE,2027,8.018627947215027
GLOBAL,PWRCOAINDWE,2028,14.512327947215027
GLOBAL,PWRCOAINDWE,2029,20.076127947215028
GLOBAL,PWRCOAINDWE,2030,22.020127947215027
GLOBAL,PWRCOAINDWE,2031,23.605327947215027
GLOBAL,PWRCOAINDWE,2032,27.082027947215025
GLOBAL,PWRCOAINDWE,2033,30.304027947215026
GLOBAL,PWRCOAINDWE,2034,33.271427947215024
GLOBAL,PWRCOAINDWE,2035,39.346627947215026
GLOBAL,PWRCOAINDWE,2036,41.804827947215024
GLOBAL,PWRCOAINDWE,2037,44.57272794721502
GLOBAL,PWRCOAINDWE,2038,47.05972794721502
GLOBAL,PWRCOAINDWE,2039,49.26582794721502
GLOBAL,PWRCOAINDWE,2040,51.19102794721502
GLOBAL,PWRCOAINDWE,2041,53.00002794721502
GLOBAL,PWRCOAINDWE,2042,56.61762794721502
GLOBAL,PWRCOAINDWE,2043,61.97472794721502
GLOBAL,PWRCOAINDWE,2044,69.02242794721502
GLOBAL,PWRCOAINDWE,2045,77.70862794721502
GLOBAL,PWRCOAINDWE,2046,88.60102794721502
GLOBAL,PWRCOAINDWE,2047,99.33312885748748
GLOBAL,PWRCOAINDWE,2048,99.33312885748748
GLOBAL,PWRCOAINDWE,2049,99.33312885748748
GLOBAL,PWRCOAINDWE,2050,99.33312885748748
GLOBAL,PWRCOALKAXX,2040,0.0139984887587614
GLOBAL,PWRCOALKAXX,2041,0.09749848875876141
GLOBAL,PWRCOALKAXX,2042,0.18119848875876132
GLOBAL,PWRCOALKAXX,2043,0.2662984887587612
GLOBAL,PWRCOALKAXX,2044,0.2662984887587612
GLOBAL,PWRCOALKAXX,2045,0.2662984887587612
GLOBAL,PWRCOALKAXX,2046,0.2662984887587612
GLOBAL,PWRCOALKAXX,2047,0.2662984887587612
GLOBAL,PWRCOALKAXX,2048,0.2662984887587612
GLOBAL,PWRCOALKAXX,2049,0.2662984887587612
GLOBAL,PWRCOALKAXX,2050,0.2662984887587612
GLOBAL,PWRCSPINDNO,2028,0.1
GLOBAL,PWRCSPINDNO,2029,0.2
GLOBAL,PWRCSPINDNO,2030,0.30000000000000004
GLOBAL,PWRCSPINDNO,2031,0.4
GLOBAL,PWRCSPINDNO,2032,0.5
GLOBAL,PWRCSPINDNO,2033,0.6
GLOBAL,PWRCSPINDNO,2034,0.7
GLOBAL,PWRCSPINDNO,2035,0.8
GLOBAL,PWRCSPINDNO,2036,0.9
GLOBAL,PWRCSPINDNO,2037,1.0
GLOBAL,PWRCSPINDNO,2038,1.1
GLOBAL,PWRCSPINDNO,2039,1.2000000000000002
GLOBAL,PWRCSPINDNO,2040,1.3000000000000003
GLOBAL,PWRCSPINDNO,2041,1.4000000000000004
GLOBAL,PWRCSPINDNO,2042,1.5000000000000004
GLOBAL,PWRCSPINDNO,2043,1.6444999999999999
GLOBAL,PWRCSPINDNO,2044,1.8392
GLOBAL,PWRCSPINDNO,2045,2.0904
GLOBAL,PWRCSPINDNO,2046,2.0904
GLOBAL,PWRCSPINDNO,2047,2.0904
GLOBAL,PWRCSPINDNO,2048,2.0904
GLOBAL,PWRCSPINDNO,2049,2.0904
GLOBAL,PWRCSPINDNO,2050,2.0904
GLOBAL,PWRCSPINDSO,2031,0.1
GLOBAL,PWRCSPINDSO,2032,0.2
GLOBAL,PWRCSPINDSO,2033,0.30000000000000004
GLOBAL,PWRCSPINDSO,2034,0.4
GLOBAL,PWRCSPINDSO,2035,0.5
GLOBAL,PWRCSPINDSO,2036,0.6
GLOBAL,PWRCSPINDSO,2037,0.7
GLOBAL,PWRCSPINDSO,2038,0.8
GLOBAL,PWRCSPINDSO,2039,0.9
GLOBAL,PWRCSPINDSO,2040,1.0
GLOBAL,PWRCSPINDSO,2041,1.1
GLOBAL,PWRCSPINDSO,2042,1.2000000000000002
GLOBAL,PWRCSPINDSO,2043,1.3355000000000001
GLOBAL,PWRCSPINDSO,2044,1.5123000000000002
GLOBAL,PWRCSPINDSO,2045,1.5123000000000002
GLOBAL,PWRCSPINDSO,2046,1.5123000000000002
GLOBAL,PWRCSPINDSO,2047,1.5123000000000002
GLOBAL,PWRCSPINDSO,2048,1.5123000000000002
GLOBAL,PWRCSPINDSO,2049,1.5123000000000002
GLOBAL,PWRCSPINDSO,2050,1.5123000000000002
GLOBAL,PWRHYDBGDXX,2023,0.1
GLOBAL,PWRHYDBGDXX,2024,0.2
GLOBAL,PWRHYDBGDXX,2025,0.30000000000000004
GLOBAL,PWRHYDBGDXX,2026,0.4
GLOBAL,PWRHYDBGDXX,2027,0.5
GLOBAL,PWRHYDBGDXX,2028,0.6
GLOBAL,PWRHYDBGDXX,2029,0.6002
GLOBAL,PWRHYDBGDXX,2030,0.6002
GLOBAL,PWRHYDBGDXX,2031,0.6002
GLOBAL,PWRHYDBGDXX,2032,0.6002
GLOBAL,PWRHYDBGDXX,2033,0.6002
GLOBAL,PWRHYDBGDXX,2034,0.6002
GLOBAL,PWRHYDBGDXX,2035,0.6002
GLOBAL,PWRHYDBGDXX,2036,0.6002
GLOBAL,PWRHYDBGDXX,2037,0.6002
GLOBAL,PWRHYDBGDXX,2038,0.6002
GLOBAL,PWRHYDBGDXX,2039,0.6002
GLOBAL,PWRHYDBGDXX,2040,0.6002
GLOBAL,PWRHYDBGDXX,2041,0.6002
GLOBAL,PWRHYDBGDXX,2042,0.6002
GLOBAL,PWRHYDBGDXX,2043,0.6002
GLOBAL,PWRHYDBGDXX,2044,0.6002
GLOBAL,PWRHYDBGDXX,2045,0.6002
GLOBAL,PWRHYDBGDXX,2046,0.6002
GLOBAL,PWRHYDBGDXX,2047,0.6002
GLOBAL,PWRHYDBGDXX,2048,0.6002
